_id,date,oh_region,icu_current_covid,icu_current_covid_vented,hospitalizations,icu_crci_total,icu_crci_total_vented,icu_former_covid,icu_former_covid_vented
1,2020-04-02,CENTRAL,51,39,113,0,0,0,0
2,2020-04-03,CENTRAL,57,52,141,0,0,0,0
3,2020-04-04,CENTRAL,65,57,143,0,0,0,0
4,2020-04-05,CENTRAL,65,55,174,0,0,0,0
5,2020-04-06,CENTRAL,73,58,187,0,0,0,0
6,2020-04-07,CENTRAL,83,68,183,0,0,0,0
7,2020-04-08,CENTRAL,85,68,203,0,0,0,0
8,2020-04-09,CENTRAL,92,73,205,0,0,0,0
9,2020-04-10,CENTRAL,88,73,218,0,0,0,0
10,2020-04-11,CENTRAL,90,77,230,0,0,0,0
11,2020-04-12,CENTRAL,93,70,237,0,0,0,0
12,2020-04-13,CENTRAL,92,78,248,0,0,0,0
13,2020-04-14,CENTRAL,89,73,265,0,0,0,0
14,2020-04-15,CENTRAL,89,74,284,0,0,0,0
15,2020-04-16,CENTRAL,86,67,287,0,0,0,0
16,2020-04-17,CENTRAL,86,72,293,0,0,0,0
17,2020-04-18,CENTRAL,90,74,298,0,0,0,0
18,2020-04-19,CENTRAL,88,73,299,0,0,0,0
19,2020-04-20,CENTRAL,87,74,309,0,0,0,0
20,2020-04-21,CENTRAL,88,72,317,0,0,0,0
21,2020-04-22,CENTRAL,85,68,316,0,0,0,0
22,2020-04-23,CENTRAL,85,67,320,0,0,0,0
23,2020-04-24,CENTRAL,88,67,351,0,0,0,0
24,2020-04-25,CENTRAL,91,73,367,0,0,0,0
25,2020-04-26,CENTRAL,92,70,383,0,0,0,0
26,2020-04-27,CENTRAL,91,70,382,0,0,0,0
27,2020-04-28,CENTRAL,89,65,370,0,0,0,0
28,2020-04-29,CENTRAL,86,64,381,0,0,0,0
29,2020-04-30,CENTRAL,86,61,402,0,0,0,0
30,2020-05-01,CENTRAL,79,59,411,86,64,7,5
31,2020-05-02,CENTRAL,79,55,415,83,64,4,9
32,2020-05-03,CENTRAL,87,65,396,91,67,4,2
33,2020-05-04,CENTRAL,85,66,396,89,69,4,3
34,2020-05-05,CENTRAL,86,67,433,90,72,4,5
35,2020-05-06,CENTRAL,84,67,435,90,74,6,7
36,2020-05-07,CENTRAL,83,60,433,86,70,3,10
37,2020-05-08,CENTRAL,81,64,437,85,69,4,5
38,2020-05-09,CENTRAL,78,63,445,82,68,4,5
39,2020-05-10,CENTRAL,76,53,391,80,63,4,10
40,2020-05-11,CENTRAL,75,58,433,81,64,6,6
41,2020-05-12,CENTRAL,78,60,445,83,63,5,3
42,2020-05-13,CENTRAL,76,56,452,80,59,4,3
43,2020-05-14,CENTRAL,74,55,458,77,59,3,4
44,2020-05-15,CENTRAL,73,56,451,77,60,4,4
45,2020-05-16,CENTRAL,74,59,458,78,63,4,4
46,2020-05-17,CENTRAL,65,57,439,70,60,5,3
47,2020-05-18,CENTRAL,68,56,439,73,59,5,3
48,2020-05-19,CENTRAL,66,53,444,76,60,10,7
49,2020-05-20,CENTRAL,67,51,453,78,59,11,8
50,2020-05-21,CENTRAL,66,52,449,77,60,11,8
51,2020-05-22,CENTRAL,64,52,429,76,61,12,9
52,2020-05-23,CENTRAL,63,52,409,78,62,15,10
53,2020-05-24,CENTRAL,64,49,395,80,64,16,15
54,2020-05-25,CENTRAL,61,50,402,76,64,15,14
55,2020-05-26,CENTRAL,62,50,386,77,64,15,14
56,2020-05-27,CENTRAL,65,54,388,78,64,13,10
57,2020-05-28,CENTRAL,66,42,389,79,63,13,21
58,2020-05-29,CENTRAL,61,52,383,76,62,15,10
59,2020-05-30,CENTRAL,60,39,387,75,60,15,21
60,2020-05-31,CENTRAL,60,47,368,76,56,16,9
61,2020-06-01,CENTRAL,62,48,359,76,57,14,9
62,2020-06-02,CENTRAL,61,47,378,75,56,14,9
63,2020-06-03,CENTRAL,62,49,384,75,60,13,11
64,2020-06-04,CENTRAL,58,45,380,72,54,14,9
65,2020-06-05,CENTRAL,57,45,364,71,55,14,10
66,2020-06-06,CENTRAL,58,48,326,71,56,13,8
67,2020-06-07,CENTRAL,55,45,320,66,55,11,10
68,2020-06-08,CENTRAL,53,41,304,64,51,11,10
69,2020-06-09,CENTRAL,51,41,285,62,48,11,7
70,2020-06-10,CENTRAL,52,39,282,62,47,10,8
71,2020-06-11,CENTRAL,53,40,252,64,48,11,8
72,2020-06-12,CENTRAL,48,34,231,60,46,12,12
73,2020-06-13,CENTRAL,46,21,222,58,39,12,18
74,2020-06-14,CENTRAL,45,30,206,57,41,12,11
75,2020-06-15,CENTRAL,44,23,193,57,35,13,12
76,2020-06-16,CENTRAL,42,27,191,56,38,14,11
77,2020-06-17,CENTRAL,37,24,175,50,34,13,10
78,2020-06-18,CENTRAL,33,19,167,48,30,15,11
79,2020-06-19,CENTRAL,31,23,149,46,30,15,7
80,2020-06-20,CENTRAL,29,22,157,46,35,17,13
81,2020-06-21,CENTRAL,31,22,146,48,34,17,12
82,2020-06-22,CENTRAL,24,17,143,44,30,20,13
83,2020-06-23,CENTRAL,25,18,148,45,30,20,12
84,2020-06-24,CENTRAL,24,18,139,42,32,18,14
85,2020-06-25,CENTRAL,22,19,132,40,32,18,13
86,2020-06-26,CENTRAL,21,17,126,40,29,19,12
87,2020-06-27,CENTRAL,19,15,122,39,29,20,14
88,2020-06-28,CENTRAL,19,14,108,39,27,20,13
89,2020-06-29,CENTRAL,19,14,111,40,25,21,11
90,2020-06-30,CENTRAL,16,14,99,34,24,18,10
91,2020-07-01,CENTRAL,18,13,104,32,22,14,9
92,2020-07-02,CENTRAL,19,12,62,35,23,16,11
93,2020-07-03,CENTRAL,19,12,62,34,23,15,11
94,2020-07-05,CENTRAL,18,9,50,31,15,13,6
95,2020-07-06,CENTRAL,18,9,49,30,17,12,8
96,2020-07-07,CENTRAL,17,11,50,28,18,11,7
97,2020-07-08,CENTRAL,17,13,48,27,19,10,6
98,2020-07-09,CENTRAL,15,11,47,25,17,10,6
99,2020-07-10,CENTRAL,17,11,44,26,17,9,6
100,2020-07-11,CENTRAL,14,9,52,23,15,9,6
101,2020-07-12,CENTRAL,14,10,45,23,15,9,5
102,2020-07-13,CENTRAL,12,10,47,20,15,8,5
103,2020-07-14,CENTRAL,13,11,46,21,16,8,5
104,2020-07-15,CENTRAL,14,12,45,21,18,7,6
105,2020-07-16,CENTRAL,15,11,45,22,16,7,5
106,2020-07-17,CENTRAL,15,11,36,23,16,8,5
107,2020-07-18,CENTRAL,16,12,33,23,15,7,3
108,2020-07-19,CENTRAL,15,11,33,21,14,6,3
109,2020-07-20,CENTRAL,15,12,34,21,16,6,4
110,2020-07-21,CENTRAL,15,11,37,21,14,6,3
111,2020-07-22,CENTRAL,17,10,43,22,12,5,2
112,2020-07-23,CENTRAL,17,9,40,22,10,5,1
113,2020-07-24,CENTRAL,15,9,34,20,11,5,2
114,2020-07-25,CENTRAL,15,9,34,19,11,4,2
115,2020-07-26,CENTRAL,14,9,30,18,11,4,2
116,2020-07-27,CENTRAL,16,8,29,20,10,4,2
117,2020-07-28,CENTRAL,16,9,32,19,11,3,2
118,2020-07-29,CENTRAL,13,8,31,16,10,3,2
119,2020-07-30,CENTRAL,13,7,29,16,10,3,3
120,2020-07-31,CENTRAL,12,7,27,16,11,4,4
121,2020-08-01,CENTRAL,12,7,27,16,10,4,3
122,2020-08-02,CENTRAL,11,8,26,17,13,6,5
123,2020-08-03,CENTRAL,10,8,31,16,13,6,5
124,2020-08-04,CENTRAL,10,8,29,15,13,5,5
125,2020-08-05,CENTRAL,11,8,24,15,12,4,4
126,2020-08-06,CENTRAL,11,7,29,16,11,5,4
127,2020-08-07,CENTRAL,8,6,23,13,11,5,5
128,2020-08-08,CENTRAL,7,7,16,12,12,5,5
129,2020-08-09,CENTRAL,7,6,24,12,11,5,5
130,2020-08-10,CENTRAL,8,7,19,13,12,5,5
131,2020-08-11,CENTRAL,7,6,21,13,12,6,6
132,2020-08-12,CENTRAL,7,6,19,13,12,6,6
133,2020-08-13,CENTRAL,7,6,16,13,12,6,6
134,2020-08-14,CENTRAL,6,5,16,12,11,6,6
135,2020-08-15,CENTRAL,6,5,13,12,10,6,5
136,2020-08-16,CENTRAL,6,5,11,11,10,5,5
137,2020-08-17,CENTRAL,5,5,7,10,10,5,5
138,2020-08-18,CENTRAL,5,5,12,10,10,5,5
139,2020-08-19,CENTRAL,4,4,12,9,9,5,5
140,2020-08-20,CENTRAL,4,3,10,9,6,5,3
141,2020-08-21,CENTRAL,4,3,13,9,4,5,1
142,2020-08-22,CENTRAL,4,3,13,9,4,5,1
143,2020-08-23,CENTRAL,4,4,14,9,5,5,1
144,2020-08-24,CENTRAL,4,4,13,9,5,5,1
145,2020-08-25,CENTRAL,6,6,15,8,7,2,1
146,2020-08-26,CENTRAL,8,6,19,10,7,2,1
147,2020-08-27,CENTRAL,10,7,22,11,8,1,1
148,2020-08-28,CENTRAL,10,8,31,12,10,2,2
149,2020-08-29,CENTRAL,10,4,23,13,6,3,2
150,2020-08-30,CENTRAL,11,7,21,14,10,3,3
151,2020-08-31,CENTRAL,10,5,19,13,7,3,2
152,2020-09-01,CENTRAL,11,6,24,13,7,2,1
153,2020-09-02,CENTRAL,8,6,20,10,6,2,0
154,2020-09-03,CENTRAL,7,6,22,9,7,2,1
155,2020-09-04,CENTRAL,9,6,29,12,6,3,0
156,2020-09-05,CENTRAL,10,6,26,12,7,2,1
157,2020-09-06,CENTRAL,11,6,27,13,7,2,1
158,2020-09-07,CENTRAL,13,6,28,15,6,2,0
159,2020-09-08,CENTRAL,11,5,28,14,6,3,1
160,2020-09-09,CENTRAL,8,5,30,12,6,4,1
161,2020-09-10,CENTRAL,8,6,28,12,6,4,0
162,2020-09-11,CENTRAL,8,6,23,11,7,3,1
163,2020-09-12,CENTRAL,8,5,22,11,6,3,1
164,2020-09-13,CENTRAL,8,6,19,11,7,3,1
165,2020-09-14,CENTRAL,9,6,22,12,7,3,1
166,2020-09-15,CENTRAL,10,5,25,13,6,3,1
167,2020-09-16,CENTRAL,11,7,23,14,8,3,1
168,2020-09-17,CENTRAL,12,7,22,15,7,3,0
169,2020-09-18,CENTRAL,10,6,25,14,6,4,0
170,2020-09-19,CENTRAL,10,6,28,13,6,3,0
171,2020-09-20,CENTRAL,12,6,32,15,6,3,0
172,2020-09-21,CENTRAL,12,7,37,15,7,3,0
173,2020-09-22,CENTRAL,14,8,44,16,8,2,0
174,2020-09-23,CENTRAL,14,6,46,16,6,2,0
175,2020-09-24,CENTRAL,15,6,45,17,6,2,0
1567,2020-09-06,NORTH,0,0,0,0,0,0,0
176,2020-09-25,CENTRAL,14,6,45,16,6,2,0
177,2020-09-26,CENTRAL,16,8,44,18,8,2,0
178,2020-09-27,CENTRAL,16,9,47,18,9,2,0
179,2020-09-28,CENTRAL,16,10,50,18,10,2,0
180,2020-09-29,CENTRAL,15,10,53,15,10,0,0
181,2020-09-30,CENTRAL,18,10,49,18,10,0,0
182,2020-10-01,CENTRAL,18,10,52,18,10,0,0
183,2020-10-02,CENTRAL,17,10,55,17,10,0,0
184,2020-10-03,CENTRAL,18,11,52,18,11,0,0
185,2020-10-04,CENTRAL,18,12,49,18,12,0,0
186,2020-10-05,CENTRAL,19,12,52,19,12,0,0
187,2020-10-06,CENTRAL,18,12,61,18,12,0,0
188,2020-10-07,CENTRAL,16,12,61,16,12,0,0
189,2020-10-08,CENTRAL,18,13,68,19,14,1,1
190,2020-10-09,CENTRAL,19,13,82,20,14,1,1
191,2020-10-10,CENTRAL,22,12,85,23,13,1,1
192,2020-10-11,CENTRAL,23,13,88,25,14,2,1
193,2020-10-12,CENTRAL,23,12,81,25,13,2,1
194,2020-10-13,CENTRAL,27,14,89,29,15,2,1
195,2020-10-14,CENTRAL,30,15,84,31,16,1,1
196,2020-10-15,CENTRAL,30,13,105,31,14,1,1
197,2020-10-16,CENTRAL,34,17,107,35,17,1,0
198,2020-10-17,CENTRAL,32,17,119,33,17,1,0
199,2020-10-18,CENTRAL,29,15,110,30,15,1,0
200,2020-10-19,CENTRAL,28,14,117,29,14,1,0
201,2020-10-20,CENTRAL,28,18,125,29,19,1,1
202,2020-10-21,CENTRAL,27,20,118,28,21,1,1
203,2020-10-22,CENTRAL,27,23,116,29,24,2,1
204,2020-10-23,CENTRAL,28,18,115,30,20,2,2
205,2020-10-24,CENTRAL,31,24,127,32,25,1,1
206,2020-10-25,CENTRAL,31,24,127,32,25,1,1
207,2020-10-26,CENTRAL,31,23,141,32,24,1,1
208,2020-10-27,CENTRAL,30,23,139,31,24,1,1
209,2020-10-28,CENTRAL,29,24,129,30,25,1,1
210,2020-10-29,CENTRAL,31,23,127,32,24,1,1
211,2020-10-30,CENTRAL,34,26,127,34,26,0,0
212,2020-10-31,CENTRAL,35,30,133,35,30,0,0
1568,2020-09-07,NORTH,0,0,0,0,0,0,0
213,2020-11-01,CENTRAL,35,23,135,35,23,0,0
214,2020-11-02,CENTRAL,34,21,140,34,21,0,0
215,2020-11-03,CENTRAL,30,21,137,30,21,0,0
216,2020-11-04,CENTRAL,30,20,148,30,20,0,0
217,2020-11-05,CENTRAL,40,22,155,40,22,0,0
218,2020-11-06,CENTRAL,39,24,151,39,24,0,0
219,2020-11-07,CENTRAL,42,25,171,43,25,1,0
220,2020-11-08,CENTRAL,38,25,160,39,25,1,0
221,2020-11-09,CENTRAL,35,25,158,36,25,1,0
222,2020-11-10,CENTRAL,35,23,180,36,23,1,0
223,2020-11-11,CENTRAL,37,23,186,38,23,1,0
224,2020-11-12,CENTRAL,40,26,200,42,26,2,0
225,2020-11-13,CENTRAL,45,28,213,46,28,1,0
226,2020-11-14,CENTRAL,43,27,231,43,27,0,0
227,2020-11-15,CENTRAL,47,30,224,47,30,0,0
228,2020-11-16,CENTRAL,50,29,231,50,29,0,0
229,2020-11-17,CENTRAL,52,30,246,52,30,0,0
230,2020-11-18,CENTRAL,53,34,249,53,34,0,0
231,2020-11-19,CENTRAL,60,34,246,60,34,0,0
232,2020-11-20,CENTRAL,59,35,246,59,35,0,0
233,2020-11-21,CENTRAL,56,32,237,56,32,0,0
234,2020-11-22,CENTRAL,60,32,234,60,32,0,0
235,2020-11-23,CENTRAL,63,42,250,63,42,0,0
236,2020-11-24,CENTRAL,68,42,256,68,42,0,0
237,2020-11-25,CENTRAL,71,51,250,71,51,0,0
238,2020-11-26,CENTRAL,70,50,258,70,50,0,0
239,2020-11-27,CENTRAL,71,46,258,71,46,0,0
240,2020-11-28,CENTRAL,72,48,277,72,48,0,0
241,2020-11-29,CENTRAL,74,44,274,76,44,2,0
242,2020-11-30,CENTRAL,77,54,272,79,54,2,0
243,2020-12-01,CENTRAL,81,56,277,82,56,1,0
244,2020-12-02,CENTRAL,77,47,275,78,47,1,0
245,2020-12-03,CENTRAL,81,53,273,82,53,1,0
246,2020-12-04,CENTRAL,81,53,282,82,53,1,0
247,2020-12-05,CENTRAL,81,50,279,82,51,1,1
248,2020-12-06,CENTRAL,81,51,296,82,51,1,0
249,2020-12-07,CENTRAL,83,52,316,84,52,1,0
250,2020-12-08,CENTRAL,79,53,315,81,54,2,1
251,2020-12-09,CENTRAL,80,48,323,82,49,2,1
252,2020-12-10,CENTRAL,86,55,324,90,58,4,3
253,2020-12-11,CENTRAL,87,57,322,92,60,5,3
254,2020-12-12,CENTRAL,91,61,336,96,64,5,3
255,2020-12-13,CENTRAL,99,61,331,106,64,7,3
256,2020-12-14,CENTRAL,94,60,358,101,64,7,4
257,2020-12-15,CENTRAL,99,63,383,105,68,6,5
258,2020-12-16,CENTRAL,97,67,386,103,70,6,3
259,2020-12-17,CENTRAL,101,66,376,106,69,5,3
260,2020-12-18,CENTRAL,99,63,350,104,66,5,3
261,2020-12-19,CENTRAL,100,61,361,104,63,4,2
262,2020-12-20,CENTRAL,106,63,364,111,66,5,3
263,2020-12-21,CENTRAL,105,62,381,111,66,6,4
264,2020-12-22,CENTRAL,106,63,424,110,65,4,2
265,2020-12-23,CENTRAL,106,71,423,111,75,5,4
266,2020-12-24,CENTRAL,105,68,416,111,72,6,4
267,2020-12-25,CENTRAL,108,50,424,113,52,5,2
268,2020-12-26,CENTRAL,115,74,398,120,77,5,3
269,2020-12-27,CENTRAL,118,89,444,122,92,4,3
270,2020-12-28,CENTRAL,122,97,485,128,102,6,5
271,2020-12-29,CENTRAL,122,94,490,129,98,7,4
272,2020-12-30,CENTRAL,125,82,505,132,85,7,3
273,2020-12-31,CENTRAL,128,89,502,134,93,6,4
274,2021-01-01,CENTRAL,127,94,517,134,98,7,4
275,2021-01-02,CENTRAL,117,88,503,124,92,7,4
276,2021-01-03,CENTRAL,120,93,534,127,98,7,5
277,2021-01-04,CENTRAL,122,77,542,129,82,7,5
278,2021-01-05,CENTRAL,125,91,562,133,97,8,6
279,2021-01-06,CENTRAL,133,98,598,139,102,6,4
280,2021-01-07,CENTRAL,134,101,595,139,104,5,3
281,2021-01-08,CENTRAL,140,104,592,146,107,6,3
282,2021-01-09,CENTRAL,141,98,603,146,101,5,3
283,2021-01-10,CENTRAL,133,99,618,138,101,5,2
284,2021-01-11,CENTRAL,134,97,636,140,99,6,2
864,2020-09-08,EAST,3,0,12,4,0,1,0
285,2021-01-12,CENTRAL,134,97,700,140,99,6,2
286,2021-01-13,CENTRAL,128,97,671,134,99,6,2
287,2021-01-14,CENTRAL,129,95,664,134,98,5,3
288,2021-01-15,CENTRAL,124,94,665,130,97,6,3
289,2021-01-16,CENTRAL,125,89,647,131,93,6,4
290,2021-01-17,CENTRAL,123,101,624,127,104,4,3
291,2021-01-18,CENTRAL,128,101,633,132,104,4,3
292,2021-01-19,CENTRAL,133,99,641,138,102,5,3
293,2021-01-20,CENTRAL,129,99,639,132,102,3,3
294,2021-01-21,CENTRAL,129,96,573,133,99,4,3
295,2021-01-22,CENTRAL,130,94,564,134,98,4,4
296,2021-01-23,CENTRAL,134,96,566,138,100,4,4
297,2021-01-24,CENTRAL,130,100,548,134,103,4,3
298,2021-01-25,CENTRAL,135,99,537,141,103,6,4
299,2021-01-26,CENTRAL,131,98,550,136,101,5,3
300,2021-01-27,CENTRAL,124,96,512,130,100,6,4
301,2021-01-28,CENTRAL,117,95,493,122,98,5,3
302,2021-01-29,CENTRAL,120,89,469,125,93,5,4
303,2021-01-30,CENTRAL,121,76,466,127,78,6,2
304,2021-01-31,CENTRAL,116,90,453,123,95,7,5
305,2021-02-01,CENTRAL,117,87,449,124,91,7,4
306,2021-02-02,CENTRAL,114,79,462,122,83,8,4
307,2021-02-03,CENTRAL,109,79,366,120,84,11,5
308,2021-02-04,CENTRAL,103,79,424,113,85,10,6
309,2021-02-05,CENTRAL,103,67,399,113,74,10,7
310,2021-02-06,CENTRAL,102,65,399,113,73,11,8
311,2021-02-07,CENTRAL,105,70,370,117,78,12,8
312,2021-02-08,CENTRAL,103,70,374,114,79,11,9
313,2021-02-09,CENTRAL,100,68,385,111,76,11,8
314,2021-02-10,CENTRAL,99,71,367,109,78,10,7
315,2021-02-11,CENTRAL,91,68,370,102,76,11,8
316,2021-02-12,CENTRAL,93,66,343,105,73,12,7
317,2021-02-13,CENTRAL,95,67,325,107,76,12,9
318,2021-02-14,CENTRAL,102,71,296,114,80,12,9
1563,2020-09-02,NORTH,0,0,0,0,0,0,0
319,2021-02-15,CENTRAL,101,71,329,113,79,12,8
320,2021-02-16,CENTRAL,112,83,323,125,90,13,7
321,2021-02-17,CENTRAL,114,87,266,126,93,12,6
322,2021-02-18,CENTRAL,114,79,324,127,86,13,7
323,2021-02-19,CENTRAL,111,81,289,123,87,12,6
324,2021-02-20,CENTRAL,112,80,313,121,83,9,3
325,2021-02-21,CENTRAL,118,80,317,127,83,9,3
326,2021-02-22,CENTRAL,116,81,296,126,84,10,3
327,2021-02-23,CENTRAL,122,81,298,130,85,8,4
328,2021-02-24,CENTRAL,116,77,280,126,81,10,4
329,2021-02-25,CENTRAL,115,77,280,125,80,10,3
330,2021-02-26,CENTRAL,114,79,273,124,84,10,5
331,2021-02-27,CENTRAL,109,78,285,118,84,9,6
332,2021-02-28,CENTRAL,112,75,257,122,81,10,6
333,2021-03-01,CENTRAL,106,67,259,116,74,10,7
334,2021-03-02,CENTRAL,111,72,261,119,76,8,4
335,2021-03-03,CENTRAL,103,74,250,113,79,10,5
336,2021-03-04,CENTRAL,107,70,250,116,75,9,5
337,2021-03-05,CENTRAL,110,73,249,120,79,10,6
338,2021-03-06,CENTRAL,111,65,233,121,69,10,4
339,2021-03-07,CENTRAL,105,67,237,115,71,10,4
340,2021-03-08,CENTRAL,103,64,245,113,69,10,5
341,2021-03-09,CENTRAL,104,64,257,114,69,10,5
342,2021-03-10,CENTRAL,104,57,256,112,61,8,4
343,2021-03-11,CENTRAL,104,65,255,112,69,8,4
344,2021-03-12,CENTRAL,102,69,255,111,73,9,4
345,2021-03-13,CENTRAL,98,67,264,106,70,8,3
346,2021-03-14,CENTRAL,104,69,261,111,72,7,3
347,2021-03-15,CENTRAL,108,70,273,115,74,7,4
348,2021-03-16,CENTRAL,111,75,271,118,77,7,2
349,2021-03-17,CENTRAL,111,74,272,118,77,7,3
350,2021-03-18,CENTRAL,109,72,270,118,78,9,6
351,2021-03-19,CENTRAL,115,69,278,125,73,10,4
352,2021-03-20,CENTRAL,112,71,285,123,78,11,7
1564,2020-09-03,NORTH,0,0,0,0,0,0,0
353,2021-03-21,CENTRAL,114,73,294,126,80,12,7
354,2021-03-22,CENTRAL,110,75,317,122,84,12,9
355,2021-03-23,CENTRAL,111,74,334,123,80,12,6
356,2021-03-24,CENTRAL,119,83,343,128,90,9,7
357,2021-03-25,CENTRAL,116,80,334,125,87,9,7
358,2021-03-26,CENTRAL,128,82,345,136,87,8,5
359,2021-03-27,CENTRAL,126,72,374,135,77,9,5
360,2021-03-28,CENTRAL,129,76,375,139,81,10,5
361,2021-03-29,CENTRAL,128,91,392,136,96,8,5
362,2021-03-30,CENTRAL,141,95,431,148,100,7,5
363,2021-03-31,CENTRAL,148,102,467,155,107,7,5
364,2021-04-01,CENTRAL,150,100,469,156,105,6,5
365,2021-04-02,CENTRAL,155,103,467,162,108,7,5
366,2021-04-03,CENTRAL,162,98,483,169,102,7,4
367,2021-04-04,CENTRAL,171,91,522,177,95,6,4
368,2021-04-05,CENTRAL,172,101,555,177,105,5,4
369,2021-04-06,CENTRAL,175,104,580,180,108,5,4
370,2021-04-07,CENTRAL,170,107,581,178,111,8,4
371,2021-04-08,CENTRAL,181,114,587,189,119,8,5
372,2021-04-09,CENTRAL,187,122,607,198,129,11,7
373,2021-04-10,CENTRAL,195,129,630,205,136,10,7
374,2021-04-11,CENTRAL,197,121,649,207,129,10,8
375,2021-04-12,CENTRAL,203,127,688,213,132,10,5
376,2021-04-13,CENTRAL,195,129,734,206,139,11,10
377,2021-04-14,CENTRAL,191,127,745,202,136,11,9
378,2021-04-15,CENTRAL,192,131,787,203,141,11,10
379,2021-04-16,CENTRAL,204,134,809,214,142,10,8
380,2021-04-17,CENTRAL,213,132,834,224,141,11,9
381,2021-04-18,CENTRAL,210,127,874,221,135,11,8
382,2021-04-19,CENTRAL,215,128,939,225,136,10,8
383,2021-04-20,CENTRAL,212,134,974,222,141,10,7
384,2021-04-21,CENTRAL,206,137,952,216,145,10,8
385,2021-04-22,CENTRAL,214,140,961,225,148,11,8
454,2021-06-30,CENTRAL,55,43,42,66,51,11,8
386,2021-04-23,CENTRAL,208,130,917,220,139,12,9
387,2021-04-24,CENTRAL,204,138,884,216,146,12,8
388,2021-04-25,CENTRAL,208,136,846,219,144,11,8
389,2021-04-26,CENTRAL,210,134,877,223,144,13,10
390,2021-04-27,CENTRAL,203,121,869,216,131,13,10
391,2021-04-28,CENTRAL,199,131,835,211,140,12,9
392,2021-04-29,CENTRAL,199,129,778,211,140,12,11
393,2021-04-30,CENTRAL,195,135,735,207,143,12,8
394,2021-05-01,CENTRAL,195,129,719,207,139,12,10
395,2021-05-02,CENTRAL,188,123,715,201,132,13,9
396,2021-05-03,CENTRAL,189,123,752,199,128,10,5
397,2021-05-04,CENTRAL,186,122,736,196,126,10,4
398,2021-05-05,CENTRAL,183,123,705,194,130,11,7
399,2021-05-06,CENTRAL,192,120,661,202,124,10,4
400,2021-05-07,CENTRAL,178,120,632,188,124,10,4
401,2021-05-08,CENTRAL,176,116,592,187,124,11,8
402,2021-05-09,CENTRAL,175,119,566,184,126,9,7
403,2021-05-10,CENTRAL,176,122,552,183,127,7,5
404,2021-05-11,CENTRAL,174,127,586,183,133,9,6
405,2021-05-12,CENTRAL,174,128,524,182,134,8,6
406,2021-05-13,CENTRAL,182,131,530,190,137,8,6
407,2021-05-14,CENTRAL,182,134,528,189,139,7,5
408,2021-05-15,CENTRAL,195,141,512,202,145,7,4
409,2021-05-16,CENTRAL,189,141,518,196,145,7,4
410,2021-05-17,CENTRAL,186,139,530,194,144,8,5
411,2021-05-18,CENTRAL,190,138,524,196,142,6,4
412,2021-05-19,CENTRAL,178,129,506,185,133,7,4
413,2021-05-20,CENTRAL,170,126,477,178,130,8,4
414,2021-05-21,CENTRAL,174,132,469,181,136,7,4
415,2021-05-22,CENTRAL,174,127,442,181,133,7,6
416,2021-05-23,CENTRAL,167,121,411,176,126,9,5
417,2021-05-24,CENTRAL,173,124,410,181,129,8,5
418,2021-05-25,CENTRAL,171,125,423,177,130,6,5
419,2021-05-26,CENTRAL,162,116,406,167,121,5,5
420,2021-05-27,CENTRAL,159,115,397,165,121,6,6
421,2021-05-28,CENTRAL,156,113,379,161,118,5,5
422,2021-05-29,CENTRAL,154,113,327,160,117,6,4
423,2021-05-30,CENTRAL,147,108,315,155,113,8,5
424,2021-05-31,CENTRAL,149,105,304,158,110,9,5
425,2021-06-01,CENTRAL,142,103,292,151,107,9,4
426,2021-06-02,CENTRAL,142,101,278,152,106,10,5
427,2021-06-03,CENTRAL,136,99,270,148,104,12,5
428,2021-06-04,CENTRAL,124,96,245,135,100,11,4
429,2021-06-05,CENTRAL,122,90,225,133,97,11,7
430,2021-06-06,CENTRAL,119,88,213,133,93,14,5
431,2021-06-07,CENTRAL,120,83,211,131,88,11,5
432,2021-06-08,CENTRAL,112,71,220,122,76,10,5
433,2021-06-09,CENTRAL,117,83,199,128,90,11,7
434,2021-06-10,CENTRAL,114,83,188,124,89,10,6
435,2021-06-11,CENTRAL,112,89,177,120,94,8,5
436,2021-06-12,CENTRAL,108,80,164,117,85,9,5
437,2021-06-13,CENTRAL,106,79,147,115,84,9,5
438,2021-06-14,CENTRAL,102,76,152,111,81,9,5
439,2021-06-15,CENTRAL,98,60,111,107,63,9,3
440,2021-06-16,CENTRAL,93,58,104,104,62,11,4
441,2021-06-17,CENTRAL,90,59,100,101,66,11,7
442,2021-06-18,CENTRAL,86,56,85,96,60,10,4
443,2021-06-19,CENTRAL,77,52,68,88,56,11,4
444,2021-06-20,CENTRAL,75,46,63,86,51,11,5
445,2021-06-21,CENTRAL,75,42,63,85,47,10,5
446,2021-06-22,CENTRAL,71,44,71,81,50,10,6
447,2021-06-23,CENTRAL,70,40,59,81,45,11,5
448,2021-06-24,CENTRAL,68,46,57,78,50,10,4
449,2021-06-25,CENTRAL,63,47,51,72,53,9,6
450,2021-06-26,CENTRAL,59,46,46,71,53,12,7
451,2021-06-27,CENTRAL,60,50,44,72,57,12,7
452,2021-06-28,CENTRAL,57,44,49,70,53,13,9
453,2021-06-29,CENTRAL,55,42,43,65,50,10,8
455,2021-07-01,CENTRAL,52,38,35,64,46,12,8
456,2021-07-02,CENTRAL,50,33,36,64,43,14,10
457,2021-07-03,CENTRAL,46,32,32,60,40,14,8
458,2021-07-04,CENTRAL,44,32,28,59,41,15,9
459,2021-07-05,CENTRAL,41,32,28,56,40,15,8
